"Id","Name","Current Stock","Product Group","Dims","Image Filename"
"3146","Amisa Midnight Bar","2","bars","92""W x 24""D x 41""H","AMISA_Blue_Bar.png"
"2816","Arcus Bevin 12' Slatted Bar","2","bars","12'W x 26""D x 43.5""H","ARCUS_-_BEVIN.png"
"2813","Arcus Calvin 12' Smooth Bar","2","bars","12'W x 26""D x 43.5""H","ARCUS_-_CALVIN_1.png"
"2814","Arcus Levar 12' Black Tambour Bar","2","bars","12'W x 26""D x 43.5""H","Levar_Black_Tambour.png"
"3910","Arcus Oben 12' Black Slat Tambour Bar","2","bars","12'W x 26""D x 43.5""H",""
"3054","Arcus Ryann 12' White Tambour Bar","2","bars","12'W x 26""D x 43.5""H","ARCUS_-_RYANN_1.png"
"2540","Arcus Tavion 12' Natural Tambour Bar","2","bars","12'W x 26""D x 43.5""H","ARCUS_-_TAVION.png"
"786","Barclay Concrete & Split Wood Tasting Bar","2","bars","144""W x 30""D x 40""H (bar), 34""H (extension)","BARCLAY__Everly_Top_.png"
"3060","Beauregard Natural Tambour Bar","2","bars","71""W x 28""D x 42""H","BEAUREGARD_Bar__Everly_Top_.png"
"4086","Boone Barrel Stave Bar","1","bars","96""W x 24""D x 42.5""H","BOONE_Barrel_Bar_1.png"
"1019","Boyce Concrete & Birch Double Bar","1","bars","16'W x 20.5""D x 36.2""H","BOYCE_Bar_0.png"
"2811","Canyon 8' Natural Pine Bar","4","bars","96'W x 24""D x 41""H","CANYON_Bar_1.png"
"174","Durango Cedar & Concrete Bar","2","bars","72""W x 30""Dx 40""H","DURANGO_Bar__Everly_Top_.png"
"1415","Elwood Concrete & Split Wood Bar","1","bars","72""W x 20.5""D X 36""H","ELWOOD_Bar_0.png"
"3009","Evangeline Silver Folding Bar Cart","1","bars","31""W x 16""D x 31""H (Lower Shelf 25.5""W x 15.5""D x 27""H) (Fully Extended 54""W)","EVANGELINE_Bar_Cart.png"
"2912","Excursion Champagne Trunk Bar","1","bars","25""W x 25""D x 59""H","EXCURSION_Champagne_Bar_0.png"
"1926","Hampton Oak Wood Bar","6","bars","96""W x 24""D x 41""H","HAMPTON_Bar_0.png"
"3674","Inola Double Black Bar","2","bars","234""W (19.5'W) x 23.5""D x 42""H","INOLA_Double_Bar.png"
"3353","Inola Single Black Bar","2","bars","12'W x 23.5""D x 42""H","INOLA_Single_1.png"
"3503","Inola Single Black Bar With Gold Mirror Panels","2","bars","12'W x 23.5""D x 42""H","INOLA_Gold_Slat_Single.png"
"2756","Inola Square Black  Bar","1","bars","12'W x 12'D x 42""H","INOLA_Black_Bar.png"
"3504","Inola U Black  Bar","1","bars","12'W x 12'D x 42""H","INOLA_U.png"
"3675","Iraja Double Weathered Oak Bar","2","bars","234""W (19.5'W) x 23.5""D x 42""H","IRAJA_Double_Bar_1.png"
"3354","Iraja Single Weathered Oak Bar","2","bars","12'W x 23.5""D x 42""H","IRAJA_Single_Bar_1.png"
"2757","Iraja Square Weathered Oak Bar","1","bars","12'W x 12'D x 42""H","IRJA_Bar_1.png"
"3505","Iraja U Weathered Oak Bar","1","bars","12'W x 12'D x 42""H","IRAJA_U.png"
"2661","Jepperd Black Tambour Bar","1","bars","72""W x 30""D x 40""H","JEPPERD__Everly_Top_.png"
"1022","Lockwood Concrete & Birch Double Bar","1","bars","144""W x 30""D x 32""H","LOCKWOOD_Bar__Everly_Top_.png"
"2141","Lucille Gold Bar Cart","2","bars","29.8""W x 16.5""D x 30""H","LUCILLE_Bar_Cart_0.png"
"2150","Malcolm Bar Cart","1","bars","29""W x 16""D x 33""H","MALCOLM_Bar_Cart_0.png"
"2328","Malvina Oval Bar","1","bars","87""W x 30""D x 42""H","MALVINA_Bar_0.png"
"3008","Marceline Brass Folding Bar Cart","1","bars","31""W x 16""D x 31""H (Lower Shelf 25.5""W x 15.5""D x 27""H) (Fully Extended 54""W)","MARCELINE_Bar_Cart.png"
"188","Norwood Concrete & Split Wood Top Bar","2","bars","98""W x 21""D x 39""H","NORWOOD_Bar_0.png"
"788","Pickford Concrete & Split Wood Bar","2","bars","72""W x 30""D x 35""H","PICKFORD_Bar__Everly_Top_.png"
"1927","Sidecar Dark Wood Bar","6","bars","92""W x 24""D x 41""H","SIDECAR_Bar_0.png"
"3316","Silverton 6' Disco Bar","2","bars","72""W x 30""D x 40""H","SILVERTON_Bar.png"
"2911","Voyage Black Trunk Bar","1","bars","24""W x 24""D x 58""H   Max Open 49""W","VOYAGE_Black_Trunk_Bar_0.png"
"2966","Voyage Navy Trunk Bar","1","bars","24""W x 24""D x 58""H   Max Open 49""W","VOYAGE_Navy_Bar_Trunk.png"
"1570","Wadsworth Concrete & Birch Bar","3","bars","96""W x 20.5""D x 36""H","WADSWORTH_Bar_0.png"
"1354","Walden Concrete & Birch Bar","1","bars","72""W x 20.5""D x 36""H","WALDEN_Bar_0.png"
"787","Woodsley Concrete & Split Wood Bar","2","bars","96""W x 24""D x 35""H","WOODSLEY_Bar_0.png"
"3467","Alabaster 4.25"" Votive","2","candlelight","4""Dia x 4.25""H","ALABASTER_Small.png"
"3468","Alabaster 5"" Votive","2","candlelight","4.25""Dia x 5""H","ALABASTER_Large.png"
"2613","Amalia Smoke Cut Glass Votive","16","candlelight","2.75""Dia x 3""H","AMALIA_Votive.png"
"4030","Ennai Concrete Oil Lamp","6","candlelight","5""Dia x 4.5""H","ENNAI_Oil_Lamp.png"
"2732","Florence 14"" Weathered Zinc Lantern","6","candlelight","5""W x 5""D x 14""H","FLORENCE_Lantern_3.png"
"2733","Florence 20"" Weathered Zinc Lantern","16","candlelight","7.25""W x 7.25""D x 20""H","FLORENCE_Lantern_2.png"
"2734","Florence 25"" Weathered Zinc Lantern","8","candlelight","9""W x 9""D x 25""H","FLORENCE_Lantern.png"
"3081","Kinlee Cocoon Large","3","candlelight","9.75""Dia x 19.5""H","KINLEE_Large.png"
"3080","Kinlee Cocoon Medium","8","candlelight","7.75""Dia x 15.75""H","KINLEE_Medium.png"
"3078","Kinlee Cocoon Petite","8","candlelight","4.75""Dia x 9.25""H","KINLEE_Petite.png"
"3079","Kinlee Cocoon Small","8","candlelight","6""Dia x 11.5""H","KINLEE_Small.png"
"4003","Lachlan 36"" Black Iron Lantern","12","candlelight","8.5""W x 8.5""D x 36""H  5.5""Dia Handle","LACHLAN_Lantern.png"
"727","Layla 28"" Lantern","11","candlelight","12""W x 15""D x 28""H","LAYLA_28in_Lantern_0.png"
"726","Layla 32"" Lantern","11","candlelight","15""W x 19""D x 32""H","LAYLA_32in_Lantern_0.png"
"3776","Nera 4"" Alabaster Votive","48","candlelight","4""Dia x 4""H","NERA_4.png"
"3177","Rumen 11"" Red LED Camping Lantern","16","candlelight","6""Dia x 13""H","RUMEN_Led_Lantern.png"
"1015","Wilhelm 11"" Rustic LED Camping Lantern","12","candlelight","6""Dia x 13""H","WILHELM_Led.png"
